X,Y,OBJECTID,ADDRESS,FOLDERTYPE,FILENO,INDATE,ISSUEDATE,WORKDESC,SUBDESC,FOLDERSTATUSDESC,REFERENCEFILE,RESUNITS,CONSTRUCTVALUE,PROPINFOVALUE_WARD
593253.687520002,4800629.5,1,1268 ABBEY CRT.   ,SO Other Single Detached Dwelling,24-019651,2024/10/03 00:00:00+00,2024/11/04 00:00:00+00,New,Attached Deck,Final,ZC-120/24,0,20000,1
593253.687520002,4800629.5,2,1268 ABBEY CRT.   ,SO Other Single Detached Dwelling,24-019651,2025/07/15 00:00:00+00,2025/07/30 00:00:00+00,New (No ZC Reqd),Attached Deck,Final,ZC-120/24,0,20000,1
593253.687520002,4800629.5,3,1268 ABBEY CRT.   ,SO Other Single Detached Dwelling,24-015513,2024/08/01 00:00:00+00,2024/11/05 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,200000,1
595317.562520002,4804236.0,5,3322 ABERDEEN AVE.   ,SO Other Single Detached Dwelling,24-020768,2024/10/17 00:00:00+00,2024/11/01 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,75000,6
595415.557460003,4804295.63095,6,3333 ABERDEEN AVE.   ,SO Other Single Detached Dwelling,25-010425,2025/06/10 00:00:00+00,2025/06/26 00:00:00+00,Repair (No ZC Reqd),Attached Deck,Final,,0,10000,6
593276.937480003,4799970.5,13,2110 AGINCOURT CRES.   ,SF New Single Detached Dwelling,21-014797,2023/10/16 00:00:00+00,2023/11/15 00:00:00+00,Infill,Single Detached Dwelling,Issued,ZC-034/21,0,0,1
593214.776620002,4799950.14873,16,2116 AGINCOURT CRES.   ,SO Other Single Detached Dwelling,23-014377,2023/07/21 00:00:00+00,2023/08/17 00:00:00+00,New,Attached Deck,Final,ZC-414/23,0,35000,1
593168.500000002,4799955.0,17,2120 AGINCOURT CRES.   ,SO Other Single Detached Dwelling,24-006229,2024/04/03 00:00:00+00,2024/06/21 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-007/24,0,150000,1
593104.500000002,4800019.5,18,2128 AGINCOURT CRES.   ,SO Other Single Detached Dwelling,25-016866,2025/09/05 00:00:00+00,2026/05/11 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-150/25,0,201872.88,1
594132.842250003,4801900.63335,19,2134 ALCONBURY CRES.   ,SO Other Single Detached Dwelling,25-021089,2025/11/05 00:00:00+00,2025/11/13 00:00:00+00,Renovation,Single Detached Dwelling,Issued,ZC-882/25,0,100000,3
594182.562520002,4801938.0,21,2145 ALCONBURY CRES.   ,SO Other Single Detached Dwelling,22-019527,2022/09/08 00:00:00+00,2022/10/21 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,40888,3
594182.562520002,4801938.0,22,2145 ALCONBURY CRES.   ,PL Plumbing,22-012606,2022/06/20 00:00:00+00,2022/06/27 00:00:00+00,Internal Plumbing - New,Single Detached Dwelling,Final,,,10000,3
594299.312480003,4801947.5,23,2158 ALCONBURY CRES.   ,SO Other Single Detached Dwelling,25-023445,2025/12/04 00:00:00+00,2025/12/23 00:00:00+00,Repair,Single Detached Dwelling,Issued,ZC-957/25,0,65000,3
596596.625000002,4801823.0,25,1263 ALDRIDGE CRES.   ,SO Other Single Detached Dwelling,25-019499,2025/10/10 00:00:00+00,2026/02/09 00:00:00+00,New,Accessory Dwelling Units,Issued,ZC-855/25,1,80045.4,4
598497.628540003,4798076.89873,28,267 ALEXANDER CRT.   ,SO Other Single Detached Dwelling,24-006988,2024/04/15 00:00:00+00,2024/04/24 00:00:00+00,Renovation,Single Detached Dwelling,Issued,ZC-113/24,0,200000,2
596710.125000002,4798157.5,32,1432 ALFRED CRES.   ,PL Plumbing,25-001203,2025/01/20 00:00:00+00,2025/01/27 00:00:00+00,Internal Plumbing - New,Single Detached Dwelling,Final,,,4000,2
596710.125000002,4798157.5,33,1432 ALFRED CRES.   ,PL Plumbing,23-022674,2023/12/01 00:00:00+00,2023/12/05 00:00:00+00,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,,,8000,2
596620.459450002,4796328.09619,35,1060 ALGONQUIN RD.   ,SO Other Single Detached Dwelling,25-020069,2025/10/21 00:00:00+00,2025/11/20 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-569/25,0,200000,1
595519.125000002,4801158.0,36,2338 ALMA DALE AVE.   ,PL Plumbing,24-018977,2024/09/20 00:00:00+00,2024/09/24 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,13950,3
595460.312480003,4801165.5,37,2329 ALMA DALE AVE.   ,PL Plumbing,24-016275,2024/08/16 00:00:00+00,2024/08/21 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,2000,3
595495.000000002,4801199.5,39,2341 ALMA DALE AVE.   ,SO Other Single Detached Dwelling,24-006442,2024/04/05 00:00:00+00,2024/06/03 00:00:00+00,New,Accessory Dwelling Units,Issued,ZC-896/23,1,35000,3
597775.933640002,4797772.05676,40,398 ALMAS COMMON   ,M9 Multi-Res (Part 9),25-016244,2025/08/26 00:00:00+00,2025/09/10 00:00:00+00,Renovation (No ZC Reqd),Row Townhouse,Final,,0,120000,2
593764.875400002,4800621.23603,44,1340 ALMONTE DR.   ,SS Semi-Detached Dwelling,25-001135,2025/01/17 00:00:00+00,2025/02/28 00:00:00+00,Renovation (No ZC Reqd),Semi-Detached Dwelling,Final,,0,60000,1
593799.539260002,4800589.14652,52,1354 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024914,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,344230,1
593803.636510002,4800585.04927,53,1356 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024915,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,331673,1
593807.565380002,4800581.56941,54,1358 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024917,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,315952,1
593811.382000002,4800577.75279,55,1360 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024918,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,315952,1
593815.703750002,4800573.7678,56,1362 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024919,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,344230,1
593855.310500002,4800576.77993,57,1372 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024921,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,355175,1
593859.688390003,4800581.49457,58,1374 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024922,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,331673,1
593863.448880002,4800585.36732,59,1376 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024924,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,305047,1
593867.153240003,4800588.95943,60,1378 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024925,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,315952,1
593875.291610003,4800597.21005,62,1382 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024927,2022/11/02 00:00:00+00,2023/04/11 00:00:00+00,New,Row Townhouse,Final,,1,398597,1
593918.191130002,4800643.23396,72,1402 ALMONTE DR.   ,M9 Multi-Res (Part 9),22-024954,2022/11/02 00:00:00+00,2023/04/12 00:00:00+00,New,Row Townhouse,Final,,1,305047,1
601996.750000002,4802299.0,118,5178 ALTON RD.   ,SO Other Single Detached Dwelling,25-008805,2025/05/21 00:00:00+00,2025/09/04 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-037/25,0,175855,5
601976.408390002,4802342.48702,119,5181 ALTON RD.   ,SO Other Single Detached Dwelling,23-004020,2023/03/13 00:00:00+00,2023/03/29 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,7000,5
602027.062480003,4802328.0,120,5190 ALTON RD.   ,SO Other Single Detached Dwelling,25-019952,2025/10/21 00:00:00+00,2026/03/26 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-486/25,0,300000,5
602027.062480003,4802328.0,121,5190 ALTON RD.   ,PL Plumbing,26-009312,2026/05/19 00:00:00+00,2026/06/08 00:00:00+00,External Plumbing - New,Single Detached Dwelling,Issued,,,4975,5
602027.062480003,4802328.0,122,5190 ALTON RD.   ,PL Plumbing,26-009271,2026/05/15 00:00:00+00,2026/06/02 00:00:00+00,Internal Plumbing - New,Single Detached Dwelling,Issued,,,5700,5
601755.875000002,4803898.5,125,516 AMANDA CRES.   ,SO Other Single Detached Dwelling,24-002131,2024/02/05 00:00:00+00,2024/03/20 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-006/24,0,200000,5
601493.306430003,4804487.95196,127,633 AMELIA CRES.   ,SO Other Single Detached Dwelling,23-008309,2023/09/01 00:00:00+00,2023/10/03 00:00:00+00,New (No ZC Reqd),Attached Deck,Final,,0,0,5
601493.306430003,4804487.95196,128,633 AMELIA CRES.   ,SO Other Single Detached Dwelling,23-008309,2023/05/10 00:00:00+00,2023/06/19 00:00:00+00,New (No ZC Reqd),Attached Deck,Final,,0,20000,5
601508.937480003,4804397.0,129,616 AMELIA CRES.   ,SO Other Single Detached Dwelling,22-022056,2022/10/17 00:00:00+00,2022/10/24 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,11000,5
601508.937480003,4804397.0,130,616 AMELIA CRES.   ,SO Other Single Detached Dwelling,23-001846,2023/02/02 00:00:00+00,2023/02/10 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,40000,5
594387.962870003,4800962.49577,131,2107 AMESBURY CRES.   ,PL Plumbing,25-000837,2025/01/13 00:00:00+00,2025/01/27 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,18000,3
594582.516210002,4800663.46812,134,2065 AMHERST HEIGHTS CRT.   ,M9 Multi-Res (Part 9),24-023786,2024/12/09 00:00:00+00,2025/01/03 00:00:00+00,Renovation (No ZC Reqd),Row Townhouse,Issued,,0,70000,3
594375.312480003,4800572.0,136,2013 AMHERST HEIGHTS DR.   ,M9 Multi-Res (Part 9),25-023227,2025/12/01 00:00:00+00,2026/03/02 00:00:00+00,Renovation,Row Townhouse,Issued,ZC-914/25,0,35000,3
594375.312480003,4800572.0,137,2013 AMHERST HEIGHTS DR.   ,PL Plumbing,25-023225,2025/12/01 00:00:00+00,2025/12/10 00:00:00+00,Internal Plumbing - New,Multi-Residential (Part 9),Final,,,35000,3
594399.250000002,4800591.5,138,2021 AMHERST HEIGHTS DR.   ,SO Other Single Detached Dwelling,22-019553,2022/09/08 00:00:00+00,2022/12/07 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,5000,3
594593.937480003,4800347.0,139,2085 AMHERST HEIGHTS DR.   ,M3 Multi-Res (Part 3),23-005748,2023/04/05 00:00:00+00,2023/04/27 00:00:00+00,Fire Alarm (no ZC required),Apartment,Issued,,0,30000,3
594593.937480003,4800347.0,140,2085 AMHERST HEIGHTS DR.   ,IP Industrial,23-008056,2023/05/09 00:00:00+00,2023/07/07 00:00:00+00,Repair,Storage Garage,Final,ZC-318/23,,400000,3
594582.444440003,4800452.82118,141,2075 AMHERST HEIGHTS DR.   ,IP Industrial,25-014054,2025/07/28 00:00:00+00,2026/03/17 00:00:00+00,Repair,Storage Garage,Issued,ZC-618/25,,600000,3
594707.850950003,4796540.97534,143,491 ANN AVE.   ,SF New Single Detached Dwelling,24-001556,2024/01/26 00:00:00+00,2024/03/15 00:00:00+00,New,Single Detached Dwelling,Final,ZC-894/23,1,1900000,1
594707.850950003,4796540.97534,144,491 ANN AVE.   ,SO Other Single Detached Dwelling,23-021704,2023/11/13 00:00:00+00,2023/11/29 00:00:00+00,Demolition -Building,Single Detached Dwelling,Final,,,15000,1
594755.401440002,4796589.16733,145,505 ANN AVE.   ,SO Other Single Detached Dwelling,24-024305,2024/12/17 00:00:00+00,2025/01/14 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,200000,1
594778.991470003,4796631.35326,146,521 ANN AVE.   ,SO Other Single Detached Dwelling,24-014396,2024/07/19 00:00:00+00,2024/08/22 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-212/24,0,300000,1
602669.812520002,4802946.0,147,5427 ANTHONY PL.   ,SO Other Single Detached Dwelling,22-023448,2022/11/08 00:00:00+00,2022/11/29 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-563/22,0,326668.45,5
600390.500000002,4800113.5,149,4008 APPLE VALLEY LANE   ,PL Plumbing,24-007858,2024/04/23 00:00:00+00,2024/05/03 00:00:00+00,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,,,9000,4
600451.211200003,4800243.26695,150,4041 APPLE VALLEY LANE   ,SF New Single Detached Dwelling,25-023442,2025/12/05 00:00:00+00,2026/02/05 00:00:00+00,New,Single Detached Dwelling,Issued,ZC-516/25,1,1200000,4
600451.211200003,4800243.26695,151,4041 APPLE VALLEY LANE   ,SO Other Single Detached Dwelling,26-001245,2026/01/20 00:00:00+00,2026/01/26 00:00:00+00,Demolition -Building,Single Detached Dwelling,Final,,,15000,4
600419.937480003,4800457.0,153,4077 APPLE VALLEY LANE   ,SO Other Single Detached Dwelling,23-007999,2023/07/14 00:00:00+00,2023/08/13 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-046/23,0,0,4
600419.937480003,4800457.0,154,4077 APPLE VALLEY LANE   ,SO Other Single Detached Dwelling,23-007999,2023/05/05 00:00:00+00,2023/06/09 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-046/23,0,50000,4
588994.190970003,4812773.25109,155,6660 APPLEBY LINE   ,SO Other Single Detached Dwelling,24-000086,2024/10/22 00:00:00+00,2024/12/02 00:00:00+00,Renovation,Single Detached Dwelling,Final,ZC-069/22,0,0,6
588994.190970003,4812773.25109,156,6660 APPLEBY LINE   ,SO Other Single Detached Dwelling,24-000086,2024/01/02 00:00:00+00,2024/06/20 00:00:00+00,Renovation,Single Detached Dwelling,Final,ZC-069/22,0,154000,6
591240.121520002,4810682.87903,157,5622 APPLEBY LINE   ,PL Plumbing,24-020100,2024/10/08 00:00:00+00,2024/10/21 00:00:00+00,Septic System - New,Single Detached Dwelling,Issued,,,55000,6
591783.062520002,4810311.0,158,5468 APPLEBY LINE   ,PL Plumbing,25-010381,2025/06/06 00:00:00+00,2025/08/22 00:00:00+00,Septic System - New,Single Detached Dwelling,Issued,,,100000,6
596345.008790002,4807058.38735,160,3091 APPLEBY LINE   ,CP Commercial,25-004043,2025/03/06 00:00:00+00,2025/04/10 00:00:00+00,Renovation,Retail Store,Final,ZC-112/25,,142600,6
596345.008790002,4807058.38735,161,3091 APPLEBY LINE   ,CP Commercial,24-007503,2024/04/19 00:00:00+00,2024/06/17 00:00:00+00,Renovation,Commercial - Retail,Final,ZC-229/24,,250000,6
596345.008790002,4807058.38735,162,3091 APPLEBY LINE   ,CP Commercial,24-012002,2024/06/18 00:00:00+00,2024/08/02 00:00:00+00,Renovation,Supermarket,Final,ZC-236/24,,1430000,6
596345.008790002,4807058.38735,163,3091 APPLEBY LINE   ,CP Commercial,25-004202,2025/03/10 00:00:00+00,2025/08/19 00:00:00+00,Renovation,Retail Store,Final,ZC-133/25,,2855023.12,6
600813.875000002,4802457.0,166,500 APPLEBY LINE   ,GP Institutional/Government,25-014512,2025/08/01 00:00:00+00,2025/09/16 00:00:00+00,Renovation,Retirement Home,Final,ZC-213/25,0,250000,4
600813.875000002,4802457.0,167,500 APPLEBY LINE   ,GP Institutional/Government,25-011239,2025/06/19 00:00:00+00,2025/09/08 00:00:00+00,Renovation,Retirement Home,Final,ZC-213/25,2,250000,4
601292.529770003,4802081.52698,168,325 APPLEBY LINE   ,SO Other Single Detached Dwelling,22-014969,2022/07/15 00:00:00+00,2022/10/20 00:00:00+00,Repair (No ZC Reqd),Single Detached Dwelling,Final,,0,7000,5
596548.275310002,4806488.29178,169,2500 APPLEBY LINE   ,CP Commercial,25-000270,2025/04/16 00:00:00+00,2025/04/28 00:00:00+00,Renovation,Restaurant,Final,ZC-742/24,,0,6
596548.275310002,4806488.29178,170,2500 APPLEBY LINE   ,CP Commercial,24-019357,2024/09/27 00:00:00+00,2024/12/02 00:00:00+00,Renovation,Restaurant,Final,ZC-584/24,,80000,6
596548.275310002,4806488.29178,171,2500 APPLEBY LINE   ,CP Commercial,25-000270,2025/01/03 00:00:00+00,2025/04/02 00:00:00+00,Renovation,Restaurant,Final,ZC-742/24,,250000,6
596548.275310002,4806488.29178,172,2500 APPLEBY LINE   ,CP Commercial,23-004482,2023/03/20 00:00:00+00,2023/06/14 00:00:00+00,Renovation,Restaurant,Final,,,500000,6
596548.275310002,4806488.29178,173,2500 APPLEBY LINE   ,CP Commercial,23-017992,2023/09/12 00:00:00+00,2023/12/15 00:00:00+00,Renovation,Restaurant,Final,,,500000,6
598355.312480003,4804774.0,174,1770 APPLEBY LINE   ,IP Industrial,22-018275,2022/08/23 00:00:00+00,2022/12/07 00:00:00+00,Demolition- Partial Building,Warehouse Facility,Final,,,30000,4
601176.312520002,4802113.0,175,352 APPLEBY LINE   ,SO Other Single Detached Dwelling,24-007393,2024/04/16 00:00:00+00,2024/05/08 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,20000,4
601107.000000002,4802181.5,176,378 APPLEBY LINE   ,SF New Single Detached Dwelling,25-020996,2025/11/04 00:00:00+00,2026/01/14 00:00:00+00,New,Single Detached Dwelling,Issued,ZC-300/24,1,1000000,4
601107.000000002,4802181.5,177,378 APPLEBY LINE   ,SO Other Single Detached Dwelling,25-018853,2025/10/01 00:00:00+00,2025/10/03 00:00:00+00,Demolition -Building,Single Detached Dwelling,Final,,,15000,4
601310.613400002,4801974.62933,178,304 APPLEBY LINE   ,SF New Single Detached Dwelling,22-011598,2022/12/19 00:00:00+00,2023/01/05 00:00:00+00,Infill,Single Detached Dwelling,Final,ZC-624/21,0,0,4
601242.500000002,4802044.0,181,328 APPLEBY LINE   ,SF New Single Detached Dwelling,22-019091,2023/07/28 00:00:00+00,2023/08/01 00:00:00+00,Infill,Single Detached Dwelling,Final,ZC-083/22,0,0,4
600302.562520002,4802801.0,187,676 APPLEBY LINE   ,CP Commercial,25-023478,2025/12/08 00:00:00+00,2026/01/22 00:00:00+00,Renovation,Commercial - Business/Personal Serv.,Final,ZC-1002/25,,162000,4
600223.687520002,4803322.5,190,747 APPLEBY LINE   ,IP Industrial,25-005043,2025/03/25 00:00:00+00,2025/03/27 00:00:00+00,Fire Alarm (no ZC required),Medium Hazard Industrial Facility,Final,,,1200,5
600374.312520002,4803019.5,191,675 APPLEBY LINE   ,CP Commercial,22-006075,2022/08/19 00:00:00+00,2022/08/26 00:00:00+00,Renovation,Restaurant,Final,,,0,5
600374.312520002,4803019.5,192,675 APPLEBY LINE   ,CP Commercial,24-003020,2024/04/25 00:00:00+00,2024/06/03 00:00:00+00,Renovation,Restaurant,Final,ZC-090/24,,0,5
600374.312520002,4803019.5,193,675 APPLEBY LINE   ,CP Commercial,24-003020,2024/02/20 00:00:00+00,2024/04/16 00:00:00+00,Renovation,Restaurant,Final,ZC-090/24,,260214,5
600005.062520002,4803443.5,195,821 APPLEBY LINE   ,IP Industrial,24-024040,2025/05/15 00:00:00+00,2025/06/06 00:00:00+00,Renovation (No ZC Reqd),Medium Hazard Industrial Facility,Final,ZC-800/23,,24700,5
600005.062520002,4803443.5,197,821 APPLEBY LINE   ,IP Industrial,24-024040,2024/12/12 00:00:00+00,2025/02/05 00:00:00+00,Renovation,Medium Hazard Industrial Facility,Final,ZC-800/23,,1500000,5
600005.062520002,4803443.5,198,821 APPLEBY LINE   ,IP Industrial,24-024040,2025/05/15 00:00:00+00,2025/06/24 00:00:00+00,Renovation,Medium Hazard Industrial Facility,Final,ZC-800/23,,1500000,5
596465.404080003,4806803.94076,200,3035 APPLEBY LINE   ,CP Commercial,25-023585,2025/12/09 00:00:00+00,2026/01/08 00:00:00+00,Renovation (No ZC Reqd),Retail Store,Issued,,,10000,6
597519.794880003,4805492.70696,205,2070 APPLEBY LINE   ,TT Temporary Structure,26-004197,2026/03/03 00:00:00+00,2026/03/20 00:00:00+00,,Tent,Issued,ZC-912/25,,10000,6
597519.794880003,4805492.70696,206,2070 APPLEBY LINE   ,CP Commercial,24-019485,2024/10/01 00:00:00+00,2025/01/27 00:00:00+00,Renovation (No ZC Reqd),Retail Store,Final,ZC-633/24,,175000,6
597519.794880003,4805492.70696,207,2070 APPLEBY LINE   ,CP Commercial,24-006281,2024/04/02 00:00:00+00,2024/08/21 00:00:00+00,Addition,Retail Store,Final,ZC-127/24,,12000000,6
597639.625000002,4805191.0,208,2020 APPLEBY LINE   ,CP Commercial,23-014870,2023/10/16 00:00:00+00,2023/10/30 00:00:00+00,Renovation (No ZC Reqd),Restaurant,Final,,,0,6
597639.625000002,4805191.0,209,2020 APPLEBY LINE   ,CP Commercial,23-014870,2023/07/28 00:00:00+00,2023/09/26 00:00:00+00,Renovation (No ZC Reqd),Restaurant,Final,,,100000,6
597639.625000002,4805191.0,210,2020 APPLEBY LINE   ,CP Commercial,25-015069,2025/08/08 00:00:00+00,2025/11/10 00:00:00+00,Demolition- Internal,Commercial - Retail,Final,ZC-623/25,,600000,6
597639.625000002,4805191.0,211,2020 APPLEBY LINE   ,CP Commercial,22-024008,2022/11/16 00:00:00+00,2023/01/20 00:00:00+00,Renovation (No ZC Reqd),Retail Store,Final,,,894275.2,6
597639.625000002,4805191.0,212,2020 APPLEBY LINE   ,CP Commercial,25-022255,2025/11/21 00:00:00+00,2026/01/15 00:00:00+00,Renovation,Retail Store,Final,ZC-960/25,,1147180,6
597696.862720002,4805088.4638,213,2010 APPLEBY LINE   ,TT Temporary Structure,23-003006,2023/02/22 00:00:00+00,2023/04/26 00:00:00+00,,Tent,Final,,,22420,6
597696.862720002,4805088.4638,214,2010 APPLEBY LINE   ,TT Temporary Structure,24-002031,2024/02/05 00:00:00+00,2024/02/22 00:00:00+00,,Tent,Final,ZC-942/23,,22420,6
597696.862720002,4805088.4638,215,2010 APPLEBY LINE   ,TT Temporary Structure,24-024428,2024/12/17 00:00:00+00,2025/03/06 00:00:00+00,,Tent,Final,ZC-767/24,,22420,6
600905.312520002,4802335.5,220,450 APPLEBY LINE   ,CP Commercial,23-011024,2023/06/08 00:00:00+00,2023/08/13 00:00:00+00,Renovation,Retail Store,Final,ZC-408/23,,24000,4
600905.312520002,4802335.5,222,450 APPLEBY LINE   ,CP Commercial,24-019303,2024/09/26 00:00:00+00,2024/10/30 00:00:00+00,Renovation,Bank/Financial Institution,Issued,ZC-551/24,,130000,4
591737.796870003,4810403.17805,224,5491 APPLEBY LINE   ,AP Agricultural,25-018825,2025/10/01 00:00:00+00,2026/02/09 00:00:00+00,New,Farm Storage Facility,Issued,ZC-592/25,,600000,6
589988.239160002,4811895.97393,225,6268 APPLEBY LINE   ,SO Other Single Detached Dwelling,23-011036,2023/06/07 00:00:00+00,2024/03/25 00:00:00+00,New,Accessory Building,Issued,ZC-175/23,0,50000,6
589988.239160002,4811895.97393,226,6268 APPLEBY LINE   ,SO Other Single Detached Dwelling,23-010782,2023/06/06 00:00:00+00,2024/03/25 00:00:00+00,New,Detached Garage,Issued,ZC-175/23,0,100000,6
589988.239160002,4811895.97393,227,6268 APPLEBY LINE   ,SF New Single Detached Dwelling,23-011051,2023/06/06 00:00:00+00,2024/03/25 00:00:00+00,New,Single Detached Dwelling,Issued,ZC-175/23,1,2500000,6
589988.239160002,4811895.97393,228,6268 APPLEBY LINE   ,PL Plumbing,23-012109,2023/06/15 00:00:00+00,2023/08/30 00:00:00+00,Septic System - New,Single Detached Dwelling,Issued,ZC-175/23,,35000,6
591310.687480003,4810738.0,230,5619 APPLEBY LINE   ,PL Plumbing,24-003588,2024/03/01 00:00:00+00,2024/04/03 00:00:00+00,Septic System - New,Single Detached Dwelling,Issued,,,65000,6
594464.750000002,4808330.5,233,4070 APPLEBY LINE   ,SO Other Single Detached Dwelling,24-023322,2024/11/29 00:00:00+00,2026/05/29 00:00:00+00,New,Accessory Building,Issued,,0,10000,6
594464.750000002,4808330.5,234,4070 APPLEBY LINE   ,SO Other Single Detached Dwelling,24-023342,2024/11/29 00:00:00+00,2026/05/29 00:00:00+00,New,Accessory Building,Issued,,0,15000,6
594464.750000002,4808330.5,235,4070 APPLEBY LINE   ,SO Other Single Detached Dwelling,26-006739,2026/04/14 00:00:00+00,2026/05/21 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-783/24,0,250000,6
594464.750000002,4808330.5,236,4070 APPLEBY LINE   ,TT Temporary Structure,24-014552,2024/07/22 00:00:00+00,2024/08/13 00:00:00+00,,Tent,Issued,,,12000,6
593786.687520002,4809260.5,237,4480 APPLEBY LINE   ,SO Other Single Detached Dwelling,23-020573,2023/10/25 00:00:00+00,2023/12/18 00:00:00+00,New,Detached Garage,Final,ZC-748/23,0,400000,6
593044.750000002,4809793.0,238,5100 APPLEBY LINE   ,GP Institutional/Government,24-010094,2024/05/23 00:00:00+00,2024/08/13 00:00:00+00,Renovation,Community Centre,Final,,,50000,6
595577.625000002,4807351.0,239,3416 APPLEBY LINE   ,IP Industrial,24-021242,2024/10/29 00:00:00+00,2025/04/11 00:00:00+00,Superstructure,Medium Hazard Industrial Facility,Final,ZC-682/24,,0,6
595577.625000002,4807351.0,240,3416 APPLEBY LINE   ,IP Industrial,25-009011,2026/01/26 00:00:00+00,2026/03/12 00:00:00+00,Addition,Medium Hazard Industrial Facility,Final,535-017/24,,0,6
595577.625000002,4807351.0,241,3416 APPLEBY LINE   ,IP Industrial,25-009011,2025/05/22 00:00:00+00,2025/10/16 00:00:00+00,Addition,Medium Hazard Industrial Facility,Final,535-017/24,,3277353.36,6
595577.625000002,4807351.0,242,3416 APPLEBY LINE   ,IP Industrial,24-021242,2024/10/24 00:00:00+00,2025/03/31 00:00:00+00,Foundation,Medium Hazard Industrial Facility,Final,ZC-682/24,,40000000,6
595577.625000002,4807351.0,243,3416 APPLEBY LINE   ,IP Industrial,25-024373,2025/12/19 00:00:00+00,2026/01/12 00:00:00+00,Renovation,Medium Hazard Industrial Facility,Final,535-017/24,,40000000,6
598141.072770002,4804967.73733,244,1860 APPLEBY LINE   ,CP Commercial,25-001121,2025/01/17 00:00:00+00,2025/04/03 00:00:00+00,Renovation (No ZC Reqd),Restaurant,Final,,,40000,4
598505.583640003,4804658.19864,245,1550 APPLEBY LINE   ,CP Commercial,23-000979,2023/08/28 00:00:00+00,2023/09/07 00:00:00+00,Renovation (No ZC Reqd),Commercial - Business/Personal Serv.,Final,ZC-783/22,,0,4
598505.583640003,4804658.19864,246,1550 APPLEBY LINE   ,IP Industrial,23-020282,2023/10/20 00:00:00+00,2025/05/08 00:00:00+00,Fire Alarm (no ZC required),Medium Hazard Industrial Facility,Final,,,5000,4
598505.583640003,4804658.19864,248,1550 APPLEBY LINE   ,CP Commercial,23-000979,2023/01/17 00:00:00+00,2023/04/21 00:00:00+00,Renovation,Commercial - Business/Personal Serv.,Final,ZC-783/22,,325000,4
596029.357720003,4807198.97293,250,3241 APPLEBY LINE   ,CP Commercial,25-002574,2025/02/11 00:00:00+00,2025/10/08 00:00:00+00,Kitchen System,Restaurant,Final,,,50000,6
